"Date","Transaction","Name","Memo","Amount"
"2026-04-21","DEBIT","DEVELOPMENT IS CHILDS  WWW.DEVELOPME CA","24492166110100050782522; 08099; ; ; ;","-230.00"
"2026-04-20","DEBIT","HANKOOK SUPERMARKET    SUNNYVALE     CA","24801976108719747357463; 05411; ; ; ;","-32.09"
"2026-04-20","DEBIT","SAFEWAY #0767          SAN JOSE      CA","24231686108719955951739; 05411; ; ; ;","-12.99"
"2026-04-20","DEBIT","SHANG CAFE SAN JOSE    ORDER.MEALKEY CA","24011346109100063927042; 05812; ; ; ;","-68.20"
"2026-04-20","DEBIT","CA'S GREAT AMERICA ONL 408-988-1776  CA","24137466110600287200961; 07996; ; ; ;","-79.00"
"2026-04-17","DEBIT","SUTTER HEALTH SYSTEM M 855-398-1633  CA","24431066107414354114733; 08062; ; ; ;","-297.43"
"2026-04-17","DEBIT","SUTTER HEALTH SYSTEM M 855-398-1633  CA","24431066107414354114907; 08062; ; ; ;","-394.18"
"2026-04-17","DEBIT","YAMI.COM               YAMIBUY.COM/E CA","24000776106100034484689; 05411; ; ; ;","-113.42"
"2026-04-17","DEBIT","CHOICELUNCH            855-465-8624  CA","24692166107402167463902; 09399; ; ; ;","-50.00"
"2026-04-17","DEBIT","TAXAUDIT.COM           TAXAUDIT.COM  CA","24000776107100016190519; 07399; ; ; ;","-29.00"
"2026-04-16","DEBIT","TST*LA FONTAINE RESTAU Mountain View CA","24692166105400582020937; 05812; ; ; ;","-682.37"
"2026-04-15","DEBIT","IN *BRIGHT STARS PEDIA 408-3661098   CA","24692166104400094236774; 08099; ; ; ;","-354.00"
"2026-04-15","DEBIT","LULULEMONCOM*          877-263-9300  CA","24692166104409528206394; 05691; ; ; ;","-74.63"
"2026-04-15","DEBIT","AOPS ACADEMY*          919-234-1503  CA","24116416105714957928434; 08299; ; ; ;","-215.85"
"2026-04-14","DEBIT","COLD STONE CREAMERY #2 408-7394420   CA","24000976103575400522502; 05814; ; ; ;","-14.19"
"2026-04-14","DEBIT","SHANG CAFE SAN JOSE    ORDER.MEALKEY CA","24011346104100061088230; 05812; ; ; ;","-50.60"
"2026-04-13","DEBIT","SVL CAFE DTO           SAN JOSE      CA","24943006100410364062296; 05814; ; ; ;","-4.13"
"2026-04-13","DEBIT","HANKOOK SUPERMARKET    SUNNYVALE     CA","24801976101711660329295; 05411; ; ; ;","-21.46"
"2026-04-13","DEBIT","SUTTER HEALTH SYSTEM M 855-398-1633  CA","24431066101410813088688; 08062; ; ; ;","-593.45"
"2026-04-13","DEBIT","CHEVRON 0095954        CUPERTINO     CA","24692166100406284059219; 05542; ; ; ;","-62.91"
"2026-04-13","DEBIT","TARGET        00003236 CUPERTINO     CA","24164076100091017495904; 05310; ; ; ;","-12.18"
"2026-04-13","DEBIT","DEVELOPMENT IS CHILDS  WWW.DEVELOPME CA","24492166101100007516990; 08099; ; ; ;","-230.00"
"2026-04-13","DEBIT","TARGET        00003236 CUPERTINO     CA","24164076101091017107334; 05310; ; ; ;","-23.76"
"2026-04-13","DEBIT","LITTLE SPOON           LITTLESPOON.C NY","24011346102100058959262; 05499; ; ; ;","-80.90"
"2026-04-13","CREDIT","Cash-back deal 'Lululemon'","; 00263; ; ; ;","0.69"
"2026-04-10","DEBIT","SVL CAFE DTO           SAN JOSE      CA","24943006098409166583479; 05814; ; ; ;","-8.75"
"2026-04-08","DEBIT","LULULEMONCOM*          877-263-9300  CA","24692166097106436048798; 05691; ; ; ;","-59.27"
"2026-04-08","DEBIT","ORDER.MEALKEYWAY.COM   ORDER.MEALKEY CA","24000776098100011797020; 05812; ; ; ;","-66.72"
"2026-04-07","DEBIT","SAFEWAY #0767          SAN JOSE      CA","24231686096706040240255; 05411; ; ; ;","-32.96"
"2026-04-07","DEBIT","CVS/PHARMACY #09257    SAN JOSE      CA","24137466097001220099395; 05912; ; ; ;","-2.04"
"2026-04-07","DEBIT","WALGREENS #4416        408-973-8402  CA","24445006097600090027385; 05912; ; ; ;","-17.43"
"2026-04-07","DEBIT","DEVELOPMENT IS CHILDS  WWW.DEVELOPME CA","24492166096100047961518; 08099; ; ; ;","-230.00"
"2026-04-06","DEBIT","HANKOOK SUPERMARKET    SUNNYVALE     CA","24801976094703723658934; 05411; ; ; ;","-25.29"
"2026-04-06","DEBIT","SUTTER HEALTH SYSTEM M 855-398-1633  CA","24431066094406750106078; 08062; ; ; ;","-637.41"
"2026-04-06","DEBIT","CVS/PHARMACY #09257    SAN JOSE      CA","24137466095001434432400; 05912; ; ; ;","-8.91"
"2026-04-06","DEBIT","PAYPAL *CALIFORNIAS CA 402-935-7733  OH","24027626094067871179930; 07996; ; ; ;","-45.00"
"2026-04-06","DEBIT","Zara.com               New York      NY","24204296095001714475060; 05691; ; ; ;","-106.04"
"2026-04-03","DEBIT","TRADER JOE S #232      SAN JOSE      CA","24137466092501009439485; 05411; ; ; ;","-29.28"
"2026-04-03","DEBIT","GLOBAL-E* VALMONT      GLOBAL-E.COM  NY","24011346093100066286519; 05977; ; ; ;","-295.79"
"2026-04-02","DEBIT","CHEVRON 0359586        SAN JOSE      CA","24692166091101312733098; 05542; ; ; ;","-103.08"
"2026-04-02","DEBIT","Google CLOUD vV553R    650-2530000   CA","24204296091001929649099; 04816; ; ; ;","-1.82"
